"Mountain View, California","United States","37.38944444444444 -122.08194444444445"
"Palo Alto, California","United States","37.42916666666667 -122.13805555555555"
"Sunnyvale, California","United States","37.37111111111111 -122.0375"
"Miami","United States","25.787777777777777 -80.22416666666666"
"San Francisco","United States","37.78333333333333 -122.41666666666667"
"Norwalk, Connecticut","United States","41.09388888888889 -73.41972222222222"
"Redmond, Washington","United States","47.669444444444444 -122.12388888888889"
"Redwood City, California","United States","37.48277777777778 -122.23611111111111"
"Bangalore","India","12.966666666666667 77.56666666666666"
"San Jose, California","United States","37.333333333333336 -121.9"
"Manhattan","United States","40.72833333333333 -73.99416666666667"
"New Brunswick, New Jersey","United States","40.486678 -74.444414"
"Manhattan","United States","40.72833333333333 -73.99416666666667"
"Omaha, Nebraska","United States","41.25 -96.0"
"New York City","United States","40.7127 -74.0059"
"Cupertino, California","United States","37.3175 -122.04194444444444"
"San Diego","United States","32.715 -117.1625"
"Sunnyvale, California","United States","37.37111111111111 -122.0375"
"Moorpark, California","United States","34.280833333333334 -118.87333333333333"
"Redwood City, California","United States","37.48277777777778 -122.23611111111111"
"Milpitas, California","United States","37.43472222222222 -121.895"
"Sunnyvale, California","United States","37.37111111111111 -122.0375"
"Philadelphia","United States","39.95 -75.16666666666667"
"New York City","United States","40.7127 -74.0059"
"Mississauga","Canada","43.6 -79.65"
"Santa Clara, California","United States","37.35444444444445 -121.96916666666667"
"Cupertino, California","United States","37.3175 -122.04194444444444"
"Dallas","United States","32.77583333333333 -96.79666666666667"
"San Jose, California","United States","37.333333333333336 -121.9"
"Redwood City, California","United States","37.48277777777778 -122.23611111111111"
"Austin, Texas","United States","30.25 -97.75"
"Gaithersburg, Maryland","United States","39.13194444444444 -77.22638888888889"
